22:20:00.011 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:21:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:22:00.011 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:23:00.010 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:24:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:25:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:26:00.005 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:27:00.007 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:28:00.011 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:29:00.008 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:30:00.014 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:31:00.006 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:32:00.008 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:33:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:34:00.002 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:35:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:36:00.008 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:37:00.003 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:38:00.016 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:39:00.010 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
22:40:00.010 INFO  c.p.n.u.ConnectionPoolLogScheduler - TotalConnections : 20, ActiveConnections : 0, IdleConnections : 20, ThreadsAwaitingConnection : 0
